Data,PIB
2009-06-01,135896.0
2009-07-01,142852.0
2009-08-01,150357.0
2009-09-01,156088.0
2009-10-01,175131.0
2009-11-01,176002.0
2009-12-01,171375.0
2010-01-01,158338.0
2010-02-01,152790.0
2010-03-01,177535.0
2010-04-01,176815.0
2010-05-01,173905.0
2010-06-01,175094.0
2010-07-01,185898.0
2010-08-01,189074.0
2010-09-01,196168.0
2010-10-01,208810.0
2010-11-01,209548.0
2010-12-01,205775.0
2011-01-01,195734.0
2011-02-01,199273.0
2011-03-01,214896.0
2011-04-01,223390.0
2011-05-01,228031.0
2011-06-01,228974.0
2011-07-01,234562.0
2011-08-01,234381.0
2011-09-01,211184.0
2011-10-01,216147.0
2011-11-01,218338.0
2011-12-01,209574.0
2012-01-01,203258.0
2012-02-01,213660.0
2012-03-01,221353.0
2012-04-01,207866.0
2012-05-01,202170.0
2012-06-01,192762.0
2012-07-01,201401.0
2012-08-01,206089.0
2012-09-01,198270.0
2012-10-01,212173.0
2012-11-01,205908.0
2012-12-01,198638.0
2013-01-01,200764.0
2013-02-01,201118.0
2013-03-01,218464.0
2013-04-01,222238.0
2013-05-01,216116.0
2013-06-01,199374.0
2013-07-01,200285.0
2013-08-01,193139.0
2013-09-01,196654.0
2013-10-01,216836.0
2013-11-01,204516.0
2013-12-01,198953.0
2014-01-01,190156.0
2014-02-01,191060.0
2014-03-01,205168.0
2014-04-01,214876.0
2014-05-01,216673.0
2014-06-01,206236.0
2014-07-01,218576.0
2014-08-01,212817.0
2014-09-01,209913.0
2014-10-01,206859.0
2014-11-01,194312.0
2014-12-01,188199.0
2015-01-01,177999.0
2015-02-01,163971.0
2015-03-01,161724.0
2015-04-01,160806.0
2015-05-01,158040.0
2015-06-01,155254.0
2015-07-01,154661.0
2015-08-01,140199.0
2015-09-01,125901.0
2015-10-01,131987.0
2015-11-01,134033.0
2015-12-01,131593.0
2016-01-01,117572.0
2016-02-01,121978.0
2016-03-01,140995.0
2016-04-01,144664.0
2016-05-01,144730.0
2016-06-01,151561.0
2016-07-01,158516.0
2016-08-01,164431.0
2016-09-01,160635.0
2016-10-01,168670.0
2016-11-01,162977.0
2016-12-01,163403.0
2017-01-01,160728.0
2017-02-01,164670.0
2017-03-01,179351.0
2017-04-01,171625.0
2017-05-01,171429.0
2017-06-01,165033.0
2017-07-01,171188.0
2017-08-01,176489.0
2017-09-01,173649.0
2017-10-01,177859.0
2017-11-01,175885.0
2017-12-01,175278.0
2018-01-01,171487.0
2018-02-01,166067.0
2018-03-01,178679.0
2018-04-01,171381.0
2018-05-01,153607.0
2018-06-01,154133.0
2018-07-01,153820.0
2018-08-01,151532.0
2018-09-01,139366.0
2018-10-01,162013.0
2018-11-01,159854.0
2018-12-01,154274.0
2019-01-01,154143.0
2019-02-01,155136.0
2019-03-01,156550.0
2019-04-01,157403.0
2019-05-01,154085.0
2019-06-01,155118.0
2019-07-01,167461.0
2019-08-01,156873.0
2019-09-01,149838.0
2019-10-01,158410.0
2019-11-01,153121.0
2019-12-01,154662.0
2020-01-01,147172.0
2020-02-01,141607.0
2020-03-01,128998.0
2020-04-01,105921.0
2020-05-01,101147.0
2020-06-01,115789.0
2020-07-01,120811.0
2020-08-01,115613.0
2020-09-01,118874.0
2020-10-01,118743.0
2020-11-01,124534.0
2020-12-01,136319.0
2021-01-01,126145.0
2021-02-01,130264.0
2021-03-01,135957.0
2021-04-01,132610.0
2021-05-01,137929.0
2021-06-01,145995.0
2021-07-01,148550.0
2021-08-01,146271.0
2021-09-01,144555.0
2021-10-01,139492.0
2021-11-01,141872.0
2021-12-01,140854.0
2022-01-01,130525.0
2022-02-01,145086.0
2022-03-01,169290.0
2022-04-01,174726.0
2022-05-01,169416.0
2022-06-01,166676.0
2022-07-01,161467.0
2022-08-01,169491.0
2022-09-01,163483.0
2022-10-01,167124.0
2022-11-01,166680.0
2022-12-01,167610.0
2023-01-01,155520.0
2023-02-01,160454.0
2023-03-01,180006.0
2023-04-01,181179.0
2023-05-01,182673.0
2023-06-01,186458.0
2023-07-01,191678.0
2023-08-01,189998.0
2023-09-01,185236.0
2023-10-01,187878.0
2023-11-01,196066.0
2023-12-01,193846.0
2024-01-01,181176.0
2024-02-01,181626.0
2024-03-01,194216.0
2024-04-01,193091.0
2024-05-01,187646.0
2024-06-01,180735.0
2024-07-01,183230.0
2024-08-01,180360.0
2024-09-01,178837.0
2024-10-01,185282.0
2024-11-01,175098.0
2024-12-01,163524.0
2025-01-01,158610.0
2025-02-01,172228.0
2025-03-01,186144.0
2025-04-01,187662.0
2025-05-01,187021.0
2025-06-01,189079.0
2025-07-01,197637.0
2025-08-01,195392.0
2025-09-01,200038.0
2025-10-01,205622.0
2025-11-01,202739.0
2025-12-01,198721.0
2026-01-01,192348.0
2026-02-01,201926.0
2026-03-01,223909.0
2026-04-01,229361.0
2026-05-01,228141.0
2026-06-01,221267.0
